Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga
,,,20000,,800,800,0,Araçoiaba da Serra,Poço artesiano,,Centro,Pasto,0,Rural,Araçoiaba da serra,0,Araçoiaba Da Serra R$20.000,0
,542,652,370900,6,101,68,2,Curitiba,Fitness/Sala de Ginástica,Aceita FGTS,Jardim Botânico,Suítes,2,Apartamento,Rua São Januário,1,Paseo De Gracia - 2 Dormitórios - Jardim Botânico,1
,,1184,2000000,,720,183,2,Florianópolis,WC para empregados,,Praia Brava,Cozinha americana,3,Casa,Ennio Demaria Cavallazzi 347,0,Casa à Venda - na Praia Brava,2
,1100,412,1050000,20,,112,0,São Paulo,Fitness/Sala de Ginástica,,Moema,Suítes,3,Apartamento,DOS EUCALIPTOS,1,Apt Unico! Pronto para Morar - Lazer - 2vg,2
1490,395,,,3,75,75,1,Curitiba,Área Verde,,Batel,Mobiliado,2,Apartamento,Rua Brigadeiro Franco 2825,0,2 Dorm. - Pequeno Principe,1
,,,,,,,,,,,,,,,,,Brookfield Towers,
1700,880,290,,,96,96,1,São Paulo,Fitness/Sala de Ginástica,,Santana,Escritório,3,Apartamento,NOVA CANTAREIRA,1,Apartamento para Aluguel - em Santana,2
,476,1,457000,33,,58,2,São Paulo,Fitness/Sala de Ginástica,,Praça da Árvore,Varanda,2,Apartamento,Bosque da saude 1,0,Apartamento à Venda - em Praça Da Árvore,1
,2500,8543,2750000,23,534,393,5,Curitiba,Fitness/Sala de Ginástica,,Cabral,Suítes,4,Apartamento,Manoel Eufrasio 235,2,"Maravilhoso, Andar Alto! J8 Imóveis",4
,,,,,,,,,Espaço Gourmet,,,,,,,,Parque Chiari,
,2850,592,2620000,,,245,3,Rio de Janeiro,,Andares,Barra da Tijuca,,4,Apartamento,AVENIDA DAS AMÉRICAS 6250,1,Apartamento - Barra Da Tijuca,3
,220,,208900,1,42,42,1,São Bernardo do Campo,Fitness/Sala de Ginástica,Aceita FGTS,Jurubatuba,Suítes,1,Apartamento,RUA DR FELICIO LAURITO,0,Start Club Sao Bernardo 208 Mil Pronto - Use Seu Fgts na Entrada,1
,513,1208,497000,1,141,92,1,Florianópolis,,,Capoeiras,Churrasqueira,3,Apartamento,Professor Clementino de Brito 465,1,Apartamento à Venda - em Capoeiras,2
,,,,,,,,,Espaço Gourmet,,,Piso frio,,,,,Saint Etiénne,
,,,,,,,,,Fitness/Sala de Ginástica,,,Varanda,,,,,Residencial Sevilha Neoville,
,500,,169000,,800,800,,Itupeva,Acesso asfaltado,,Centro,Aceita Financiamento,0,Terreno,Rodovia Mário Tonoli 8,,"Terreno Residencial à Venda, Condomínio Vida Real, Itupeva.",
800,270,66,,1,27,27,1,Brasília,Elevador,Posição do Sol,Sudoeste,Geladeira,1,Apartamento,eqrsw 2/3,0,Eqrsw 02/03 Ed Maurício - Kit Dividida Semi Mobiliada - Sudoeste,0
,,,200000,Breve lançamento,,35,1,Praia Grande,Espaço Gourmet,Andares,Vila Mirim,Varanda Gourmet,1,Apartamento,av vinte e tres de maio,0,1 Dormitório Com 25 Mil De Entrada,1
,,412,1400000,48,400,152,4,São Paulo,Acesso asfaltado,,Jabaquara,Esgoto,5,Casa,Rua Jaguarão 227,1,"Sobrado Residencial à Venda, Jabaquara, São Paulo.",4
,,,,,,,,,Espaço Gourmet,,,Gás encanado,,,,,Wi - House,
5000,1100,262,,,263,,,Curitiba,Fitness/Sala de Ginástica,,Ahú,Suítes,4,Apartamento,Anita Garibaldi 491,2,Muito Espaço E Conforto para A Sua Família,2
7900,,,,,175,175,4,,Elevador,Andares,,Piso elevado,,Comercial,,,"Locação De Sala Comercial Com 175 m&sup2;, Próximo A Estação São Judas Do Metrô. Cod. Cooc121",4
,300,400,255900,Em construção,6600,50,1,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Jardim Caboré,Suítes,2,Apartamento,rua doutor luiz migliano,0,Apartamento 2 Dormitórios - 1 Vaga - Zona Sudoeste,1
1500,950,128,,,49,49,,,,,,,0,Comercial,,,"Praça Capital, Sala/loja, Acesso Direto A Rua Interna Do Condomínio, 49,01 Com 01 Wc, Piso Porcelana",
,,,,,,,,,Espaço Gourmet,,,,,,,,Acquaville - Lagoa Santa,
,550,120,790000,,,110,1,Jundiaí,,,Engordadouro,Suítes,3,Apartamento,Avenida Professor Pedro Clarismundo Fornari 1080,2,Apartamento Impecável no Engordadouro,3
,,,500000,1,225,150,3,Florianópolis,Acesso asfaltado,Aceita FGTS,Ingleses do Rio Vermelho,Suítes,3,Casa,Rua Fernando Bauther da Silva,1,Casa 3 Dormitórios/1 Suíte Com Escritura Pública - Ingleses Do Rio Vermelho,2
,1300,560,2350000,9,145,145,14,São Paulo,Espaço Gourmet,,Brooklin,Suítes,3,Apartamento,R Guararapes 2073,3,"Apto 3 Suítes, 2 Vagas, 145², Ar Condicionado E Janelas Anti Ruído",2
,,,,,,,,,Fitness/Sala de Ginástica,,,Escritório,,,,,Retrato Paulista,
,390,,250000,,,70,2,São José dos Campos,,,Jardim São Dimas,Varanda,2,Apartamento,Sob Consulta,1,"Apartamento para Venda - São José Dos Campos / Sp, Bairro São Dimas",1
1845,1100,100,,,,35,1,São Paulo,Interfone,,Moema,Mobiliado,1,Apartamento,Avenida Ibirapuera 2534,,Flat Melia Ibirapuera para Locação - Ref797,1
,250,1,178000,,45,35,1,São Paulo,Fitness/Sala de Ginástica,,Vila Prudente,,1,Apartamento,Doutor Francisco Mesquita 1139,0,Condomínio Novo Fácil Acesso A Av Paulista,0
,,,270000,20,161,88,1,Curitiba,Acesso asfaltado,,Xaxim,Churrasqueira,3,Casa,Rua Pedro Wieler 666,1,"Casa Residencial à Venda, Xaxim, Curitiba - Ca0061.",2
,,,,,,,,,,,,,,,,,Veríssimo Mooca,
,,,,,,,,,Espaço Gourmet,,,Deck,,,,,Unique Alta Vista,
3800,1281,184,900000,,175,,,Curitiba,Salão de festas,,Água Verde,Suítes,3,Apartamento,Carneiro Lobo 614,1,Apartamento Espaçoso Próximo à Praça Do Batel,2
,,,360000,,900,900,,Londrina,Acesso asfaltado,,Jardim Maria Celina,Esgoto,0,Terreno,Avenida Giocondo Maturi 589,,"Terreno Residencial à Venda, Jardim Maria Celina, Londrina - Te0694.",
,320,,228000,2,,53,2,Guarulhos,Fitness/Sala de Ginástica,Aceita FGTS,Parque Cecap,,2,Apartamento,Av Monteiro Lobato,1,Magnum - Cecap - Apto De 53 m&sup2; - 2 Dorms - R$228 Mil - Aeroporto Internacional - Pronto,1
,,2265,2800000,,1183,1183,,Guarujá,Acesso asfaltado,,Praia da Enseada,Frente para o mar,0,Terreno,Avenida Miguel Stéfano 4,,"Terreno Residencial à Venda, Praia Da Enseada, Guarujá.",
,,,,,,,,,Espaço Gourmet,,,,,,,,Quartier Brooklin,
4500,1,452,,,420,420,3,São Paulo,,,Santana,,,Comercial,DUARTE DE AZEVEDO,,Comercial para Aluguel - em Santana,3
,,1000,980000,,1200,250,4,,,,,Suítes,3,Rural,,2,"Chácara Residencial à Venda, Vale Verde, Valinhos.",4
1200,580,85,,34,54,52,1,São Paulo,,,Jaguaré,Churrasqueira,2,Apartamento,Rua Cônego José Marinho 76,,"Apartamento Residencial para Locação, Jaguaré, São Paulo - Ap6105.",1
,,,,,,,,,Espaço Gourmet,,,,,,,,Retrato Pinheiros,
2500,70,56,,,34,,1,Valinhos,,,Centro,Piso frio,0,Comercial,Sob Consulta 450,0,Salão para Aluguel em Centro,0
,622,115,1790000,,600,286,5,Vinhedo,Quadra poliesportiva,,Condomínio Terras de Vinhedo,Suítes,3,Casa,Sob Consulta 500,3,Casa à Venda em Condomínio Terras De Vinhedo,4
2850,614,120,,26,61,39,1,São Paulo,Salão de festas,,Vila Olímpia,Piscina,1,Apartamento,Rua Santa Justina 336,0,Mobiliado - Prontinho para Morar!,1
,260,20,167990,2,30,30,1,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Brás,Churrasqueira,1,Apartamento,Avenida Rangel Pestana,0,Oportunidade! Apartamentos A 3 Minutos Do Metrô na Região Central - Perto De Tudo!,0
,,,499000,Em construção,119,119,3,Curitiba,,,Boqueirão,,3,Casa,Rua Padre Dehon,1,Residencial Sophia Valentina,2
,2000,1500,5700000,9,232,232,4,São Paulo,Espaço Gourmet,,Vila Nova Conceição,Suítes,3,Apartamento,R AFONSO BRAZ,3,Walk Vila Nova: Design De Interiores Impecável,3
4000,,,330000,,50,50,0,,,,,,0,Comercial,,0,Comercial - Jardim Belo Horizonte,30
,790,900,927000,17,172,111,3,Porto Alegre,Fitness/Sala de Ginástica,,Menino Deus,Churrasqueira,3,Apartamento,VISCONDE DO HERVAL,1,Apartamento à Venda - em Menino Deus,2
,750,80,495000,3,84,69,2,São Paulo,Salão de festas,,Jardim Prudência,Aceita Financiamento,3,Apartamento,Avenida Coronel Francisco Júlio César Alfieri 122,1,"Apartamento Residencial à Venda, Jardim Prudência, São Paulo.",1
,,,,,,,,,Espaço Gourmet,,,,,,,,Parque Serra Dos Pinheiros,
,,,,,,,,,Espaço Gourmet,,,,,,,,Premium Tamboré,
,,,196400,Breve lançamento,41,25,1,Curitiba,Espaço Gourmet,,Centro,,1,Apartamento,"Rua Riachuelo 110, Centro",0,All You Need - Studio (25 M&sup2;) Localizado no Centro De Curitiba.,0
,,,850000,,,124,4,Guarujá,Salão de festas,,Praia da Enseada,Piscina,3,Apartamento,Rua Argentina 404,3,"Apartamento Residencial à Venda, Enseada, Guarujá - Ap7568.",2
8000,,1500,,48,455,220,2,São Paulo,,,Pacaembu,,3,Casa,R Garopaba 402,1,Pacaembu,3
,,,,,,,,,Espaço Gourmet,,,,,,,,Parque Ecoville - Fase 3,
,,,3448610,7,592,330,4,Curitiba,Espaço Gourmet,,Batel,,4,Apartamento,"Avenida Silva Jardim,3422",4,Apartamento à Venda no Batel,4
2570,1280,200,,15,52,50,1,São Paulo,Fitness/Sala de Ginástica,,Moema,Suítes,1,Apartamento,"Avenida Moema, 177",1,Flat Amplo Todo Mobiliado em Moema – Place Vendome – Flat & Flats 11 5042 - 6200,1
,350,200,690000,1,85,71,2,Florianópolis,,,Ingleses,Suítes,2,Apartamento,Estrada Dom João Becker 4,2,"Apartamento Residencial à Venda, Ingleses, Florianópolis.",1
,,,6950500,Em construção,343,343,6,São Paulo,Espaço Gourmet,,Alto de Pinheiros,,4,Casa,Rua Professor Fonseca Rodrigues,4,Fechamento De Mês Faça Sua Proposta - Casas Alto De Pinheiros!,4
,380,,550000,,95,75,2,Balneário Camboriú,,,Centro,Aceita Financiamento,2,Apartamento,Rua 1001 468,1,"Apartamento à Venda, Edifício Amazonas, Centro, Balneário Camboriú.",1
,1075,,795000,22,,101,3,São Paulo,,,Vila Mascote,Suítes,3,Apartamento,Rua Palestina 573,1,"Apartamento Residencial à Venda, Vila Mascote, São Paulo.",2
