Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
,513.0,1208.0,497000.0,1,141.0,92.0,1.0,Florianópolis,,,Capoeiras,Churrasqueira,3.0,Apartamento,Professor Clementino de Brito 465,1.0,Apartamento à Venda - em Capoeiras,2.0,
,500.0,,169000.0,,800.0,800.0,,Itupeva,Acesso asfaltado,,Centro,Aceita Financiamento,0.0,Terreno,Rodovia Mário Tonoli 8,,"Terreno Residencial à Venda, Condomínio Vida Real, Itupeva.",,
800.0,270.0,66.0,,1,27.0,27.0,1.0,Brasília,Elevador,Posição do Sol,Sudoeste,Geladeira,1.0,Apartamento,eqrsw 2/3,0.0,Eqrsw 02/03 Ed Maurício - Kit Dividida Semi Mobiliada - Sudoeste,0.0,1070.0
,,,200000.0,Breve lançamento,,35.0,1.0,Praia Grande,Espaço Gourmet,Andares,Vila Mirim,Varanda Gourmet,1.0,Apartamento,av vinte e tres de maio,0.0,1 Dormitório Com 25 Mil De Entrada,1.0,
,,412.0,1400000.0,48,400.0,152.0,4.0,São Paulo,Acesso asfaltado,,Jabaquara,Esgoto,5.0,Casa,Rua Jaguarão 227,1.0,"Sobrado Residencial à Venda, Jabaquara, São Paulo.",4.0,
5000.0,1100.0,262.0,,,263.0,,,Curitiba,Fitness/Sala de Ginástica,,Ahú,Suítes,4.0,Apartamento,Anita Garibaldi 491,2.0,Muito Espaço E Conforto para A Sua Família,2.0,6100.0
7900.0,,,,,175.0,175.0,4.0,,Elevador,Andares,,Piso elevado,,Comercial,,,"Locação De Sala Comercial Com 175 m&sup2;, Próximo A Estação São Judas Do Metrô. Cod. Cooc121",4.0,7900.0
,300.0,400.0,255900.0,Em construção,6600.0,50.0,1.0,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Jardim Caboré,Suítes,2.0,Apartamento,rua doutor luiz migliano,0.0,Apartamento 2 Dormitórios - 1 Vaga - Zona Sudoeste,1.0,
1500.0,950.0,128.0,,,49.0,49.0,,,,,,,0.0,Comercial,,,"Praça Capital, Sala/loja, Acesso Direto A Rua Interna Do Condomínio, 49,01 Com 01 Wc, Piso Porcelana",,2450.0
,550.0,120.0,790000.0,,,110.0,1.0,Jundiaí,,,Engordadouro,Suítes,3.0,Apartamento,Avenida Professor Pedro Clarismundo Fornari 1080,2.0,Apartamento Impecável no Engordadouro,3.0,
,,,500000.0,1,225.0,150.0,3.0,Florianópolis,Acesso asfaltado,Aceita FGTS,Ingleses do Rio Vermelho,Suítes,3.0,Casa,Rua Fernando Bauther da Silva,1.0,Casa 3 Dormitórios/1 Suíte Com Escritura Pública - Ingleses Do Rio Vermelho,2.0,
,1300.0,560.0,2350000.0,9,145.0,145.0,14.0,São Paulo,Espaço Gourmet,,Brooklin,Suítes,3.0,Apartamento,R Guararapes 2073,3.0,"Apto 3 Suítes, 2 Vagas, 145², Ar Condicionado E Janelas Anti Ruído",2.0,
,390.0,,250000.0,,,70.0,2.0,São José dos Campos,,,Jardim São Dimas,Varanda,2.0,Apartamento,Sob Consulta,1.0,"Apartamento para Venda - São José Dos Campos / Sp, Bairro São Dimas",1.0,
1845.0,1100.0,100.0,,,,35.0,1.0,São Paulo,Interfone,,Moema,Mobiliado,1.0,Apartamento,Avenida Ibirapuera 2534,,Flat Melia Ibirapuera para Locação - Ref797,1.0,2945.0
,250.0,1.0,178000.0,,45.0,35.0,1.0,São Paulo,Fitness/Sala de Ginástica,,Vila Prudente,,1.0,Apartamento,Doutor Francisco Mesquita 1139,0.0,Condomínio Novo Fácil Acesso A Av Paulista,0.0,
,,,270000.0,20,161.0,88.0,1.0,Curitiba,Acesso asfaltado,,Xaxim,Churrasqueira,3.0,Casa,Rua Pedro Wieler 666,1.0,"Casa Residencial à Venda, Xaxim, Curitiba - Ca0061.",2.0,
3800.0,1281.0,184.0,900000.0,,175.0,,,Curitiba,Salão de festas,,Água Verde,Suítes,3.0,Apartamento,Carneiro Lobo 614,1.0,Apartamento Espaçoso Próximo à Praça Do Batel,2.0,5081.0
,,,360000.0,,900.0,900.0,,Londrina,Acesso asfaltado,,Jardim Maria Celina,Esgoto,0.0,Terreno,Avenida Giocondo Maturi 589,,"Terreno Residencial à Venda, Jardim Maria Celina, Londrina - Te0694.",,
,320.0,,228000.0,2,,53.0,2.0,Guarulhos,Fitness/Sala de Ginástica,Aceita FGTS,Parque Cecap,,2.0,Apartamento,Av Monteiro Lobato,1.0,Magnum - Cecap - Apto De 53 m&sup2; - 2 Dorms - R$228 Mil - Aeroporto Internacional - Pronto,1.0,
,,2265.0,2800000.0,,1183.0,1183.0,,Guarujá,Acesso asfaltado,,Praia da Enseada,Frente para o mar,0.0,Terreno,Avenida Miguel Stéfano 4,,"Terreno Residencial à Venda, Praia Da Enseada, Guarujá.",,
4500.0,1.0,452.0,,,420.0,420.0,3.0,São Paulo,,,Santana,,,Comercial,DUARTE DE AZEVEDO,,Comercial para Aluguel - em Santana,3.0,4501.0
,,1000.0,980000.0,,1200.0,250.0,4.0,,,,,Suítes,3.0,Rural,,2.0,"Chácara Residencial à Venda, Vale Verde, Valinhos.",4.0,
1200.0,580.0,85.0,,34,54.0,52.0,1.0,São Paulo,,,Jaguaré,Churrasqueira,2.0,Apartamento,Rua Cônego José Marinho 76,,"Apartamento Residencial para Locação, Jaguaré, São Paulo - Ap6105.",1.0,1780.0
2500.0,70.0,56.0,,,34.0,,1.0,Valinhos,,,Centro,Piso frio,0.0,Comercial,Sob Consulta 450,0.0,Salão para Aluguel em Centro,0.0,2570.0
,622.0,115.0,1790000.0,,600.0,286.0,5.0,Vinhedo,Quadra poliesportiva,,Condomínio Terras de Vinhedo,Suítes,3.0,Casa,Sob Consulta 500,3.0,Casa à Venda em Condomínio Terras De Vinhedo,4.0,
2850.0,614.0,120.0,,26,61.0,39.0,1.0,São Paulo,Salão de festas,,Vila Olímpia,Piscina,1.0,Apartamento,Rua Santa Justina 336,0.0,Mobiliado - Prontinho para Morar!,1.0,3464.0
,260.0,20.0,167990.0,2,30.0,30.0,1.0,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Brás,Churrasqueira,1.0,Apartamento,Avenida Rangel Pestana,0.0,Oportunidade! Apartamentos A 3 Minutos Do Metrô na Região Central - Perto De Tudo!,0.0,
,,,499000.0,Em construção,119.0,119.0,3.0,Curitiba,,,Boqueirão,,3.0,Casa,Rua Padre Dehon,1.0,Residencial Sophia Valentina,2.0,
