,Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
881,856,75,92,,,,120,2,,,,,Aceita Financiamento,3,Apartamento,,1,Ref.: 3115 - Oportunidade De Morar em Benfica,,85675
882,,350,130,304000,,36,36,1,Jundiaí,Salão de festas,,Vila Joana,Bicicletário,1,Apartamento,Avenida São João 1723,,Apartamento à Venda - na Vila Joana,1,
883,950,303,443,,,,43,1,Guará,,,Guara I,Armário de cozinha,2,Apartamento,Quadra QI 14 Bloco T 0,,"Apartamento, 02 Quartos, Qi 14 Bloco T, Guará I.",,950303
884,,100,,280000,,70,,1,São Paulo,,,Vila Ré,Suítes,2,Casa,Rua Antônio Fortunato,2,"Sobrado em Condomínio no Bairro Vila Ré, 2 Dorm, 2 Suíte, 2 Vagas, 70 m",2,
885,,,,340000,4,,64,2,Águas Claras,Espaço Gourmet,Aceita FGTS,Aguas Sul,Cozinha americana,2,Apartamento,RUA 18,1,Edifício Centrale,1,
886,,,,600000,,150,,3,São Paulo,,,Vila Ré,Suítes,3,Casa,Rua Eunice,1,"Sobrado para Venda no Bairro Vila Ré, 3 Dorm, 1 Suíte, 4 Vagas, 150 m Próximo Ao Metro Guilhermina E",4,
887,2700,850,253,,,,84,2,Niterói,Salão de festas,,São Francisco,Ar condicionado,2,Apartamento,Avenida Prefeito Silvio Picanço 615,1,Apartamento para Aluguel - em São Francisco,1,2700850
888,25000,8538,14681,,28,428,428,4,Campinas,,,Centro,Carpete,0,Comercial,Sob Consulta 711,0,Sala para Aluguel em Centro,4,250008538
889,,350,60,259900,1,80,64,2,Osasco,Fitness/Sala de Ginástica,Aceita FGTS,Quitaúna,Suítes,3,Apartamento,"Rua Valdir Soares Lopes, 140",2,3 Dorms + Suíte + 2 Vagas Cobertas + 2 Varandas no Apartamento. Oportunidade,2,
890,,420,40,1299000,5,500,300,5,Cotia,Salão de festas,,Granja Viana,Suítes,3,Casa,Rua Américo Floriano de Toledo 803,3,"Casa Residencial à Venda, Granja Viana, Cotia.",5,
891,5525,3350,1340,,,,270,4,São Paulo,Salão de festas,,Vila Olímpia,Armário embutido,4,Apartamento,Rua Princesa Isabel 414,2,Apartamento para Aluguel - na Vila Olímpia,4,55253350
892,,550,727,530000,,99,148,,Cotia,,,Granja Viana,,3,Casa,Rua Howard Archibal Acheson Júnior 250,,"Casa Residencial à Venda, Granja Viana, Cotia.",2,
893,,510,185,550000,10,600,130,2,Itupeva,Espaço Gourmet,,Cafezal VI,Suítes,3,Rural,"alameda Monte serrat, 645",1,Linda Chácara Itupeva Parque Dos Cafezais V,3,
894,1200,350,,250000,,82,46,1,São Paulo,Forno de pizza,,Vila Mendes,Elevador,2,Apartamento,Rua Pascoal Ranieri Mazzilli 233,,"Apartamento Residencial para Venda E Locação, Vila Mendes, São Paulo - Ap8915.",1,1200350
895,4200,850,250,,,145,145,4,,Salão de festas,,,Churrasqueira,3,Apartamento,,3,Alta Vista Prestige Apto 145 m&sup2; 3 Suítes 3 Vagas,3,4200850
896,,290,180,215000,1,42,42,1,São Bernardo do Campo,Fitness/Sala de Ginástica,Aceita FGTS,Jardim Olavo Bilac,Suítes,1,Casa,Rua Dr Felicio Laurito 157,1,Start Club em Promoção! Agora no Minha Casa Minha Vida! Pronto Pra Morar!,1,
897,3350,3000,,,,,150,3,São Paulo,Salão de festas,,Centro,Armário embutido,3,Apartamento,Rua Doutor James Ferraz Alvim 333,1,Apartamento para Aluguel - no Centro,4,33503000
898,,400,,200000,,65,40,1,Itajaí,Elevador,,Centro,,0,Comercial,Rua Samuel Heusi,0,Sala Comercial Centro De Itajaí,0,
899,850,200,40,,,64,57,1,Porto Alegre,,,Cristo Redentor,,2,Apartamento,ADAO BAINO,0,Apartamento para Aluguel - no Cristo Redentor,0,850200
900,,1100,1800,1350000,40,97,97,2,Rio de Janeiro,Portaria 24 horas,,Leblon,Ar condicionado,3,Apartamento,Avenida Ataulfo de Paiva 101,0,Apartamento A Venda no Leblon 3 Quartos,1,
901,,1300,610,1500000,,240,192,5,São Paulo,Fitness/Sala de Ginástica,,Jardim Avelino,Suítes,3,Apartamento,Rua José Gonçalves Galeão 93,3,Apartamento à Venda na Vila Prudente,3,
902,,350,75,425000,10,,96,3,Sorocaba,,,Santa Terezinha,Aceita Financiamento,3,Apartamento,Rua Goiáz 240,2,"Apartamento Residencial à Venda, Santa Terezinha, Sorocaba.",2,
903,,220,,208900,1,42,42,1,São Bernardo do Campo,Fitness/Sala de Ginástica,Aceita FGTS,Jurubatuba,Suítes,1,Apartamento,RUA DR FELICIO LAURITO,0,Start Club Sao Bernardo 208 Mil Pronto - Use Seu Fgts na Entrada,1,
904,3000,1160,360,,30,,86,3,São Paulo,Fitness/Sala de Ginástica,Andares,Brooklin Paulista,Suítes,3,Apartamento,Rua California,1,3 Dormitórios (1 Suíte) - 2 Vagas na Garagem – Brooklin Paulista,2,30001160
905,,170,180,225000,,49,36,1,Porto Alegre,Jardim,,Jardim Botânico,Depósito,1,Apartamento,ITABORAI,0,Apartamento à Venda - no Jardim Botânico,1,
906,,1120,90,600000,,100,100,1,Salvador,Próximo ao Metro,,Caminho das Árvores,Restaurante,,Comercial,Rua Professor Milton Cayres de Brito 69,,"Loja para Venda - Salvador / Ba, Bairro Caminho Das Árvores",1,
907,,800,300,1080000,3,151,101,3,São Paulo,Sistema de alarme,,Tatuapé,Mobiliado,3,Apartamento,Rua João Vieira Prioste 785,3,"Apartamento Residencial à Venda, Tatuapé, São Paulo.",2,
