,Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
0,,,100,580000,,85,85,2,Niterói,,,Icaraí,Esgoto,2,Casa,Rua Presidente Backer 184,,"Casa Residencial à Venda, Icaraí, Niterói.",,
1,,,1300,689000000,1,3750,3750,7,Santa Isabel,Espaço Gourmet,,Centro,Suítes,14,Rural,"Rua Suzano, 480",2,Chácara / Sitio Com 2 Piscinas Com Prainha E Com 2 Casas em Santa Isabel - Sp,12,
2,,,,426900,1,,71,2,Curitiba,Espaço Gourmet,Andares,Santa Felicidade,Suítes,3,Apartamento,"Rua Tobias de Macedo Júnior, 1138",1,Promoção à Vista! Apartamento 3 Quartos Ao Lado Do Parque Barigui,2,
3,,668,650,5800000,2,1200,700,8,Vinhedo,Pista de cooper,,Condomínio Estância Marambaia,Playground,5,Casa,Sob Consulta 0,5,Casa à Venda em Condomínio Estância Marambaia,4,
4,,,1500,780000,,240,139,3,Itapema,,,Meia Praia,Suítes,3,Apartamento,Rua 294,3,Premiatto Residence,2,
5,6500,2500,5000,2790000,18,2000,370,8,Vinhedo,Campo de futebol,,Centro,Mobiliado,4,Casa,Sob Consulta 25,4,Casa Á Venda E para Aluguel em Condomínio Morada Do Sol,6,65002500
6,,,,499000,,12000,250,3,,Forno de pizza,,,Churrasqueira,2,Rural,,,"Chácara para Venda - Bragança Paulista / Sp, Bairro Agudo Dos Frias",,
7,,,,233700,,42,42,1,Guarulhos,,,Vila Galvão,Churrasqueira,2,Apartamento,Rua Francisco Pereira 452,,"Apartamento Novo 2 Dorms, Lazer Completo, em Fase De Acabamento, A Poucos m Do Lago Dos Patos",1,
8,900,398,54,,,,50,1,Niterói,Salão de festas,,Fonseca,Armário embutido,2,Apartamento,Rua Lopes Cunha 145,0,Apartamento para Aluguel - em Fonseca,1,900398
9,,445,,242000,,119,85,1,Curitiba,,,Centro Cívico,Churrasqueira,2,Apartamento,Rua Alberto Folloni,1,"Apartamento Residencial à Venda, Ahú, Curitiba - Ap1173.",1,
10,,,50,330000,,85,102,2,Curitiba,Acesso asfaltado,,Pinheirinho,Suítes,3,Casa,Rua João Ferreira da Rocha 303,1,Sobrado 03 Quartos Fino Acabamento,2,
11,,850,180,696740,4,123,123,3,São Bernardo do Campo,Salão de festas,,Baeta Neves,Churrasqueira,3,Apartamento,Avenida Pereira Barreto 200,,Apartamento à Venda - em Baeta Neves,2,
12,2400,427,859,,,,61,2,Águas Claras,,,Aguas Sul,Churrasqueira,2,Apartamento,Avenida das Araucárias 4400,1,"Apartamento, 02 Quartos, Via Enseada Home Club, Águas Claras.",2,2400427
13,,600,100,542500,,43,43,2,São Paulo,Salão de festas,,Pinheiros,Bicicletário,1,Apartamento,Rua Alves Guimarães 1120,,Apartamento à Venda - em Pinheiros,1,
14,,950,333,1220000,,180,131,2,São Paulo,,,Cerqueira César,Suítes,3,Apartamento,Rua Cristiano Viana 1161,,"Apartamento Residencial à Venda, Cerqueira César, São Paulo - Ap0743.",2,
15,1700,880,290,,,96,96,1,São Paulo,Fitness/Sala de Ginástica,,Santana,Escritório,3,Apartamento,NOVA CANTAREIRA,1,Apartamento para Aluguel - em Santana,2,1700880
16,1100,100,40,,16,117,110,1,Curitiba,Interfone,Andares,Santa Cândida,Esgoto,3,Casa,ESTRADA GUILHERME WEIGERT 930,,Sobrado Santa Candida Locação,1,1100100
17,5000,,505,1100000,,300,300,4,São Paulo,,,Jardim Santa Terezinha,,3,Comercial,Rua Abreu Sampaio,3,Comercial em Santa Teresinha - São Paulo,4,
18,,,,2500000,,9668,736,,Campina Grande do Sul,Acesso asfaltado,,Centro,Esgoto,0,Comercial,Rua Marcos Nicolau Strapassoni 118,,"Barracão Comercial à Venda, Bonança Sítios De Recreio, Campina Grande Do Sul.",,
19,,,,500000,,31000,31000,4,Quatro Barras,,,Palmitalzinho,Churrasqueira,2,Rural,Estrada Velha Graciosa 0,,"Chácara Residencial à Venda, Campininha, Quatro Barras.",7,
20,,810,320,980000,9,110,110,3,São Paulo,Forno de pizza,,Tatuapé,Suítes,4,Apartamento,R PROFESSOR PEDREIRA DE FREITAS,1,Apartamento Sensacional no Tatuapé,3,
21,,710,,550000,8,,60,2,Brasília,Fitness/Sala de Ginástica,Aceita FGTS,Centro de Atividades,Suítes,2,Apartamento,CA 5 (Centro de Atividades),1,"Ca 05 - Ed. San Raphael! De Canto, Reformado!",1,
22,,,,300150,4,51,34,1,Curitiba,Fitness/Sala de Ginástica,,Vila Izabel,Lavanderia,1,Apartamento,Republica Argentina 1037,0,Studio no Água Verde.,0,
23,,,,140000,1,60,60,2,Queimados,,Aceita FGTS,Vila do Tinguá,,2,Casa,rua divino alcides,0,Casa Duplex Com 2 Quartos Fanchen Queimados Rj,1,
24,1380,320,102,,15,71,50,1,Curitiba,Acesso asfaltado,,Batel,Esgoto,0,Comercial,Avenida Sete de Setembro,,"Conjunto Comercial para Locação, Batel, Curitiba.",,1380320
25,,600,250,450000,,532,532,0,Barueri,,,Aldeia da Serra,,,Terreno,Procion,,Terreno Plano Aldeia Da Serra Morada Das Estrelas,0,
26,2500,600,900,265000,3,27,27,1,Brasília,Fitness/Sala de Ginástica,Andares,Asa Norte,Suítes,1,Apartamento,SHN QUADRA 1,1,Teste Antes: Fusion E Vision 100% Mobiliados!,1,2500600
27,,750,,439000,1,70,70,1,Rio de Janeiro,Fitness/Sala de Ginástica,Aceita FGTS,Recreio dos Bandeirantes,Suítes,2,Apartamento,Rua Nilton Santos 1.850,1,Apartamento 2 Quartos Recreio - Pontal Oceânico - Maui - Calçada,1,
28,,900,200,689999,6,122,122,3,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Rio Pequeno,Suítes,3,Apartamento,Avenida Escola Politécnica,3,- Collinas Parque Dos Príncipes! Oportunidade!,2,
29,,,,290000,,200,130,2,São José dos Pinhais,Sistema de alarme,,Afonso Pena,Copa,3,Casa,Rua Olívio Setim 7,1,Casa em Sjpinhais Com Fácil Acesso para Ctba,4,
30,,,,796000,Breve lançamento,2041,2041,,Campo Largo,,,Vila Ferrari II,,0,Comercial,AGOSTINHO MOCELIN 700,,Comercial à Venda - na Vila Ferrari II,,
31,,,,390000,,925,200,3,,Poço artesiano,,,Cerca,2,Rural,,1,Belissima Chacara em Socorro 925 m&sup2;,5,
32,,,,249724,,54,41,1,Curitiba,Salão de festas,,Alto da XV,Churrasqueira,2,Apartamento,Rua Schiller 352,,Apartamento à Venda em Curitiba.,,
33,,,,100000,,,,1,,,,,,2,Rural,,,Rural à Venda - nas Chácaras Reunidas Igarapés,1,
34,,135,,180000,,85,85,2,,,,,,2,Apartamento,,1,Apartamento à Venda - no Bom Jesus,1,
35,,,150,630000,,144,177,3,São Caetano do Sul,,,Cerâmica,Quintal,3,Casa,Geovanina Borges Duarte,1,Casa à Venda - em Cerâmica,2,
36,,450,100,509500,Breve lançamento,58,58,2,São Paulo,Espaço Gourmet,,Várzea da Barra Funda,Aceita Financiamento,2,Apartamento,AVENIDA MARQUÊS DE SÃO VICENTE 341,1,Apartamento - Várzea Da Barra Funda,1,
37,,,1400,650000,5,248,251,2,Pontal do Paraná,,Aceita FGTS,Pontal do Sul,Suítes,3,Casa,"Av. Dep. Aníbal Khury, 19809",2,Sobrado Lindo De Frente para O Mar,2,
38,6000,,786,,,,300,5,São Paulo,,,Campo Belo,Armário embutido,4,Casa,Rua Bernardino de Campos 1148,2,Casa para Aluguel - no Campo Belo,0,
39,,,,340000,2,67,67,1,Porto Belo,,,Pereque,Suítes,3,Casa,RUA MARIO WALENDOWSKY,3,Sobrado Com 03 Suítes em Porto Belo,4,
40,,,,1300000,Breve lançamento,280,144,5,Balneário Camboriú,Espaço Gourmet,Andares,Centro,Suítes,4,Apartamento,RUA 3700 415,4,Oportunidade Alto Padrão,3,
41,,150,578,289000,Breve lançamento,107,81,1,Pinhais,Interfone,Aceita FGTS,Centro,Suítes,3,Apartamento,Rua Vinte e Cinco de Agosto,1,"Centro De Pinhais: Suíte, Sacada C/ Churrasqueira E Elevador",1,
42,,470,1200,359909,3,63,87,2,Curitiba,Espaço Gourmet,Aceita FGTS,Portão,Cozinha Gourmet,2,Apartamento,Avenida República Argentina,1,Edifício Next Home,2,
43,,460,175,240000,,,60,1,Campinas,,,Jardim García,Churrasqueira,2,Apartamento,Rua Castelnuovo 135,,"Oportunidade De Verdade! Apartamento 2 Dormitórios, Jardim García, Campinas - Ap0356.",1,
44,,1440,500,1829000,,,138,,São Paulo,Espaço Gourmet,,Brooklin,Suítes,3,Apartamento,AV Portugal 1048,3,"Apartamento à Venda Com 138 m&sup2; - Brooklin, São Paulo.",2,
45,1450,345,862,,,,40,1,Brasília,,,Asa Norte,,1,Apartamento,Quadra SQN 216 Bloco A 0,,Apartamento De 01 Quarto na Asa Norte.,,1450345
46,,,,6350000,,3500,3500,,Brasília,,,Lago Sul,,,Terreno,Quadra SHIS QL 26 26,,Shis Ql 26 Lago Sul,,
47,,,,850000,13,276,173,3,Cotia,,,Granja Viana,Suítes,3,Casa,Estrada dos Estudantes 100,1,"Quinta Da Vila Real, Granja Viana, cotia.(Portal)",3,
48,,400,1000,420000,2,90,65,2,Curitiba,Espaço Gourmet,,Bigorrilho,,2,Apartamento,Rua euclides da cunha,1,Apartamento Eq Champagnat 2 Dormitórios 1 Suite 1 Vaga,1,
49,,540,,310000,,52,52,1,São Paulo,Sauna,,Vila Maria Alta,Aceita Financiamento,2,Apartamento,R ORINDIÚVA 345,0,Excelente Apartamento na Vila Maria Alta - 2 Dorm. E 1 Vaga,1,
50,,1800,31940,5500000,5,912,809,9,Rio de Janeiro,Espaço Gourmet,,Barra da Tijuca,Suítes,5,Casa,Avenida das Americas,5,Casa no Porto Dos Cabritos. 5 Suites. Conforto E Praticidade. Barra Da Tijuca.,8,
51,,790,1570,1590000,,183,140,2,Balneário Camboriú,,,Pioneiros,Suítes,3,Apartamento,Rua Miguel Matte 252,1,"Apartamento à Venda, Edifício Torre Di Lyon, Pioneiros, Balneário Camboriú.",3,
52,,742,224,900000,57,120,120,2,Rio de Janeiro,Interfone,,Flamengo,Suítes,3,Apartamento,Rua Senador Vergueiro,1,Apartamento à Venda - em Flamengo,0,
53,,,,385000,4,81,81,3,Águas Claras,Elevador,Aceita FGTS,Aguas Norte,Gás encanado,3,Apartamento,ALAMEDA DOS EUCALIPTOS QD 107 11,1,Apto 3 Qtos Suite Wc Empregada 81 m Novo Use Fgts Ed. Das Américas 107 Norte,1,
54,,,,420000,1,,65,2,Curitiba,Espaço Gourmet,,Bigorrilho,,2,Apartamento,"Rua Euclides da Cunha, 1530",1,Apartamento Novo | 2 Dorms | 1 Suíte | 1 Vaga | Churrasqueira,1,
55,,1200,2500,2111000,1,421,244,5,Curitiba,Espaço Gourmet,,Campina do Siqueira,,4,Apartamento,"Rua. Prof. Pedro Viriato Parigot de Souza,",3,Apartamento Blue Granet Ecovile 4 Dormitórios 3 Suítes 4 Vagas,4,
56,2500,,,420000,,70,57,2,Santos,,,Ponta da Praia,Mobiliado,1,Apartamento,Rua Isidoro José Ribeiro de Campos 48,1,"Apartamento Residencial para Venda E Locação, Ponta Da Praia, Santos.",1,
57,,1,1,166000,1,80,36,1,Praia Grande,,,Campo da Aviação,,1,Apartamento,RUA JOAO RAMALHO 988,0,Apartamento 1 Dormitório na Cidade De Praia Grande!,1,
58,,500,30,490000,7,111,65,2,São Paulo,Fitness/Sala de Ginástica,,Barra Funda,Varanda,3,Apartamento,SANTA MARINA,1,Apartamento Barra Funda. Simpatico!,1,
59,3170,700,130,,5,38,38,1,São Paulo,Salão de festas,,Paraíso,Mobiliado,1,Apartamento,R Sampaio Viana 180,1,Flat Excelente para Locação no Paraíso!,1,3170700
60,,299,,140000,38,44,44,1,Campinas,,,Centro,,1,Apartamento,Sob Consulta 360,0,Apartamento à Venda em Centro,0,
61,,,,850000,9,300,195,4,Indaiatuba,Interfone,Posição do Sol,Jardim Esplanada,Suítes,4,Casa,Rua Prefeito Luiz Teixeira de Camargo Júnior - Jardim Esplanada,1,Casa Térrea A Venda Jardim Esplanda Indaiatuba Sp,4,
62,,,,430000,Breve lançamento,497,497,0,Santana de Parnaíba,Fitness/Sala de Ginástica,,Centro de Apoio II,,0,Terreno,06539,0,Terreno Plano no Condomínio Burle Marx Alphaville,0,
63,,,,584000,1,109,109,3,Rio de Janeiro,Fitness/Sala de Ginástica,,Pechincha,Suítes,4,Apartamento,Rua Retiro dos Artistas,3,"Vernissage, Apartamento à Venda Com 4 Quartos, Rua Retiro Dos Artistas",1,
64,,1200,195,905000,14,,114,4,São Paulo,Fitness/Sala de Ginástica,,Vila Leopoldina,Suítes,0,Apartamento,Rua nanuque 488,1,Apartamento na Leopoldina 3 Dormitórios Varanda E Dependência De Empregada,2,
65,,300,,240000,30,110,67,1,São Paulo,,,Vila Pirajussara,,2,Apartamento,Rua Martinho Vaz de Barros 388,,Apartamento Padrão para Venda em Vila Pirajussara São Paulo - Sp,1,
66,2800,1000,184,,,,110,2,São Paulo,Salão de festas,,Butantã,Armário embutido,3,Apartamento,Rua Sousa Reis 120,1,Apartamento para Aluguel - em Butantã,2,28001000
67,,,,2500000,,284,,,Florianópolis,Fitness/Sala de Ginástica,,Santinho,Mobiliado,3,Apartamento,Estrada Vereador Onildo Lemos 2345,3,Apartamento à Venda - em Santinho,3,
68,,300,,157760,1,464,464,0,Salto,Espaço Gourmet,,Jardim Buru,,0,Terreno,Av. José Maria Marquês de Oliveira 1282-1292,0,"Lote/terreno no Condomínio Portal Dos Bandeirantes, Salto/sp A Partir De 464 m&sup2;",0,
69,,2200,,2300000,2,,308,3,Curitiba,Espaço Gourmet,Andares,Água Verde,Suítes,4,Apartamento,"Av Iguaçu, 2195",4,Duplex 308 m&sup2; Privativos - 4 Suites - 4 Vagas - Água Verde,4,
70,3500,,,,28,300,300,5,São Paulo,,,Morumbi,Churrasqueira,3,Casa,Rua Frei Bonifácio Dux,3,"Sobrado para Locação, 3 Suítes, 3 Salas, Lareira, 4 Vagas De Garagem - Morumbi, Sp",0,
71,,,,1200000,10,1,168,3,São Paulo,Acesso asfaltado,Aceita FGTS,Vila São José (Ipiranga),Suítes,3,Casa,Rua Marcondes de Andrade,1,Sobrado 168 M² para Venda – Próximo Ao Museu Do Ipiranga.,2,
72,,700,59,595000,33,120,79,2,São Paulo,Piscina,,Perdizes,Piso frio,2,Apartamento,R DIANA,0,"Apartamento em Perdizes, Reformado, Pronto para Morar!",1,
73,,3000,7300,4350001,38,150,150,2,Rio de Janeiro,Elevador,,Leblon,Suítes,4,Apartamento,Rua Almirante Pereira Guimarães,1,Quadra Da Praia no Leblon De 4 Quartos Com 2 Vagas!,2,
74,,429,133,379000,2,70,70,2,Jundiaí,Fitness/Sala de Ginástica,Aceita FGTS,Jardim Flórida,Varanda Gourmet,2,Apartamento,R Hilda Del Nero Bisquolo,1,Naturale - Apartamento De 70 m&sup2; Pra Venda,1,
75,,870,,990000,,216,,,Porto Alegre,Aquecimento central,,Bela Vista,Churrasqueira,2,Apartamento,Pedro Chaves Barcelos 715,0,Apartamento à Venda - na Bela Vista,2,
76,,2815,840,4900000,,318,201,4,São Paulo,,,Itaim Bibi,Suítes,3,Apartamento,Avenida Horácio Lafer 120,3,Apartamento Residencial à Venda Hli Itaim Bibi,3,
77,,1100,2650,3950000,,2000,2000,6,Cotia,Portaria 24 horas,,Granja Viana,Suítes,3,Casa,rua joão de barro 664,3,Casa à Venda - na Granja Viana,8,
78,,,,1890000,,1200,300,6,Brasília,Portaria 24 horas,,Lago Sul,Suítes,4,Casa,QD SHIS QI 28,4,Shis Qi 28 - Casa Inteligente - Escritura E Financiamento!,6,
79,,752,515,750000,,180,164,3,Praia Grande,,,Campo da Aviação,Suítes,3,Apartamento,Rua Ophélia Caccetari Reis 54,3,"Apartamento em Praia Grande, Vista Mar, 03 Dormitórios Sendo Suítes, Sala Com Varanda Gourmet. Lazer",1,
80,,370,2000,949000,,104,80,1,Gramado,Fitness/Sala de Ginástica,,Centro,Churrasqueira,2,Apartamento,BELA VISTA - BLOCO A,1,Apartamento à Venda - no Centro,1,
81,6500,950,17,,,,180,3,São Paulo,Portaria 24 horas,,Santa Cecília,Ar condicionado,2,Apartamento,Rua Dona Veridiana 220,1,Apartamento para Aluguel - em Santa Cecília,1,6500950
82,7600,1600,458,,43,194,200,3,São Paulo,Elevador,,Bela Vista,Suítes,4,Apartamento,"Alameda Joaquim Eugênio de Lima, 115",1,90884 Ótimo Apartamento para Locação!,1,76001600
83,,3700,1618,2400000,,,252,5,São Paulo,,,Tatuapé,Suítes,3,Apartamento,Rua Apucarana 1301,3,"Apartamento Residencial à Venda, Tatuapé, São Paulo.",4,
84,,,,4500000,,624,624,,Curitiba,Acesso asfaltado,,Centro,Esgoto,0,Terreno,Rua Doutor Faivre 609,,"Terreno Residencial à Venda, Centro, Curitiba - Te0086.",,
85,,640,42,370000,15,40000,70,2,São Paulo,Área Verde,,Jardim Marajoara,Piso frio,3,Apartamento,Avenida Sargento Geraldo Santana,1,Apartamento Com Suíte para Venda em Jardim Marajoara,2,
86,,80,615,530000,12,670,300,2,Sobradinho,Piscina,Aceita FGTS,Sobradinho,Suítes,4,Casa,QUADRA 09 Condomínio Serra Azul,1,"Qd 09, Casa C/ 4 Quartos, Suíte, Área De Lazer, Cond. Serra Azul - Sobradinho",2,
87,,,,250000,,138,70,3,São José dos Pinhais,,,Afonso Pena,,3,Casa,Rua João Maria Martins Cordeiro 696,1,Casa 03 Dormitórios Sendo 01 Suíte Afonso Pena,2,
88,,,,400000,40,100,91,2,São Paulo,Acesso asfaltado,Aceita FGTS,Americanópolis,Suítes,3,Casa,R CIDADE DE SANTOS,1,"“excelente – Sobrado – Dois Dorm. Com Edícula, Bairro Americanópolis”",2,
89,,580,,267000,32,73,53,1,São Paulo,Salão de festas,,Jabaquara,Aceita Financiamento,2,Apartamento,Rua Taquacetuba 301,,"900 m Do Metrô Jabaquara, Fàcil Acesso Ao Aeroporto De Congonhas, São Paulo - Ap2368.",1,
90,,441,1336,365700,,65,65,2,Guarulhos,,,Jardim Flor da Montanha,Churrasqueira,3,Apartamento,Rua Dona Tecla 556,1,"Apartamento Residencial à Venda, Jardim Flor Da Montanha, Guarulhos.",2,
91,,,,824400,,137,137,4,Navegantes,Fitness/Sala de Ginástica,,Gravatá,Suítes,3,Apartamento,Avenida Prefeito Cirino Adolfo Cabral,3,Apartamento à Venda - em Gravatá,2,
92,950,360,48,,18,80,80,1,Curitiba,Salão de festas,,Cajuru,Churrasqueira,3,Apartamento,Rua Salvador 718,1,"Locação Residencial Portal Da Serra, Cajuru, Curitiba.",1,950360
93,,702,450,641500,,68,68,2,São Paulo,,,Vila Leopoldina,Elevador,2,Apartamento,Avenida Imperatriz Leopoldina 1845,,"Apartamento Residencial à Venda, Vila Leopoldina, São Paulo.",1,
94,,590,1150,1290000,Breve lançamento,,185,5,Itapema,Espaço Gourmet,,Centro,Suítes,4,Apartamento,Rua 133,4,Apartamento em Itapema Com Vista Panorâmica De Toda Praia Com Òtimo Acabamento.,3,
95,1150,820,125,,,,50,1,Campinas,Portaria 24 horas,,Centro,Ar condicionado,1,Apartamento,Rua Onze de Agosto 411,1,Apartamento para Aluguel - no Centro,1,1150820
96,,868,134,694950,4,,92,3,Nova Lima,,,Vila da Serra,Churrasqueira,3,Apartamento,Rua Vereda 50,1,"Apartamento Residencial à Venda, Vila Da Serra, Nova Lima.",2,
97,,440,,945000,,225,140,2,Balneário Camboriú,,,Centro,Suítes,3,Apartamento,Rua 700 404,3,Excelente Apartamento 03 Suítes - 02 Vagas De Garagem,2,
98,,720,,1350000,8,180,180,3,,Portão Eletrônico,,,Suítes,5,Apartamento,,1,Apartamento à Venda - em Dona Clara,6,
99,,,250,680000,,3000,3000,1,,,,,Churrasqueira,3,Rural,,1,"Chácara Residencial à Venda, Remanso, Cotia.",1,
100,,680,,900000,,,85,3,São Paulo,,,Vila Leopoldina,Churrasqueira,3,Apartamento,Rua Carlos Weber 890,1,"Apartamento Residencial à Venda, Vila Leopoldina, São Paulo.",2,
101,,,,695000,,161,89,2,Curitiba,Espaço Gourmet,,Alto da Glória,Churrasqueira,2,Apartamento,Rua Carlos Eduardo Leão 99,1,Apartamento à Venda - no Alto Da Glória,1,
102,,,,430000,10,75,75,2,São Paulo,Área Verde,,Piqueri,,3,Apartamento,Rua Antônio de Proença,1,"Apartamento à Venda Com 3 Quartos, 75 m&sup2;",1,
103,,,,2900000,,658,497,5,Porto Alegre,,,Mont Serrat,,3,Apartamento,Rua Pedro Ivo,,Apartamento à Venda - em Mont Serrat,3,
104,,,,259900,,84,76,2,Curitiba,Acesso asfaltado,,Barreirinha,Esgoto,3,Casa,Rua René Descartes 187,1,"Sobrado à Venda, Barreirinha, Curitiba.",1,
105,,1200,17000,5950000,1,600,750,6,Rio de Janeiro,,Aceita FGTS,Barra da Tijuca,Piso frio,5,Casa,Raquel de Queiroz,5,Belissima Casa Com 750 m&sup2; De 5 Suites no Condominio Del Lago,4,
106,,727,1369,700000,27,225,138,3,Curitiba,De esquina,Aceita FGTS,Champagnat,Suítes,3,Apartamento,RUA BRUNO FILGUEIRA   2100,1,Amplo E Ensolarado - Andar Alto - 2 Vagas De Garagem,2,
107,10000,,834,,,,462,2,São Paulo,,,Vila Madalena,Armário embutido,7,Casa,Rua Guilherme Moura 241,1,Casa para Aluguel - na Vila Madalena,3,
108,,650,630,399000,2,70,70,2,Rio de Janeiro,Espaço Gourmet,Aceita FGTS,Cachambi,Suítes,2,Apartamento,Rua Silva Mourão,1,Apartamento 2 Qts Suíte Varanda Com Churrasqueira Vaga Junto Ao Norte Shopping,1,
109,1800,1650,200,650000,30,140,140,3,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Butantã,Suítes,4,Apartamento,"R NELSON FRANK , 50",1,Cob. Duplex - Butantã - 140 m&sup2; - 1 Suite - 2 Vagas,2,18001650
110,,,,600000,28,132,130,3,,,,,Aceita Financiamento,0,Comercial,,,"Loja Comercial à Venda, Vila Carrão, São Paulo.",,
111,,,663,1800000,,571,600,7,São Paulo,Acesso asfaltado,,Interlagos,Suítes,4,Casa,Rua Paschoal Leonardi 55,3,"Casa Residencial à Venda, Interlagos, São Paulo - Ca2159.",5,
112,,,,1950000,10,800,500,6,Brasília,,,Setor Habitacional Jardim Botânico,,4,Casa,SHJB III,3,Casa Nova De 2 Pavimentos Com 4 Quartos - Jardim Botânico/df,3,
113,,570,1,500000,4,71,71,2,São Paulo,Fitness/Sala de Ginástica,,Belém,,3,Apartamento,Conselheiro Cotegipe 219,1,Apto no Belém - E X C E L E N T E L O C A L I Z A Ç Ã O,1,
114,,,,289000,,95,95,3,Curitiba,Acesso asfaltado,,Alto Boqueirão,Suítes,3,Casa,Rua Expedicionário Bruno Estrifica 0,1,"Sobrado Residencial à Venda, Alto Boqueirão, Curitiba - So0417.",1,
115,,458,,595000,1,817,250,3,Brasília,Área Verde,Ocupado,Setor Habitacional Jardim Botânico,Jardim,3,Casa,Condomínio Verde,3,Casa Térrea Nova 3 Suítes Condomínio Verde - Jardim Botânico/brasília - Df,3,
116,,180,,149900,Breve lançamento,41,41,1,São Paulo,Interfone,Aceita FGTS,Jardim Germânia,Piso frio,2,Apartamento,"Rua Doutor José Serra Ribeiro, 300",0,Apartamento no Campo Limpo Ao Lado Do Metrô,1,
117,2679,521,28,,3,87,87,2,Barueri,Fitness/Sala de Ginástica,,Jardim Tupanci,Suítes,2,Apartamento,"werner goldberg, 157",1,"Apto 87 m&sup2;, Sala Ampliada. Lazer Completo! Localização Privilegiada em Barueri",2,2679521
118,,250,400,132000,,53,53,1,Florianópolis,Salão de festas,,Jardim Atlântico,Ar condicionado,2,Apartamento,"Jornalista Orion Augusto Plat, 247",0,"2 Dorm. 1 Vaga, no Jardim Atlantico. Melhor Preç",1,
119,7500,2500,957,,13,,180,,São Paulo,Vestiário,,Vila Mariana,Varanda Gourmet,4,Apartamento,R Professora Carolina Ribeiro 30,2,"Apartamento para Locação Com 180 m&sup2;, Vila Mariana Sp;",3,75002500
120,Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,AluguelCondominio
121,,1300,140,1250000,46,110,110,3,São Paulo,Salão de festas,,Planalto Paulista,Aceita Financiamento,3,Apartamento,AL Dos Guaramomis,1,Excelente Apto em Moema Com 3 Dorm/ 1 Suite/ 1 Vg/ 110 m,1,
122,,,,683000,,216,216,3,Curitiba,,,Guabirotuba,Despensa,3,Casa,Rua da Invernada 81,1,"Quadriplex 03 Quartos Sendo 1 Suite, Guabirotuba",5,
123,5000,1350,484,1190000,Breve lançamento,191,191,4,São Paulo,Salão de festas,,Jardim América,Suítes,4,Apartamento,AL SANTOS 2527,1,Apartamento à Venda - no Jardim América,1,50001350
124,,180,,174900,Breve lançamento,41,41,1,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Jardim Bonfiglioli,Piso frio,2,Apartamento,"Av. Eng. Heitor Antônio Eiras Garcia, 2651",0,Apartamento no Jd Bonfiglioli Próximo Ao Metrô Minha Casa Minha Vida,1,
125,,,,3349900,6,436,306,5,Balneário Camboriú,Interfone,Posição do Apto,Pioneiros,Suítes,5,Apartamento,r. Joao francisco dos santos,4,Edifício Bellas Artes - Maravilhosa Cobertura em Camboriú.,3,
126,11000,,550,,,660,660,8,Osasco,,,km 18,,,Comercial,"Av Hildebrando de Lima,",,Prédio Bem Localizado Seno 4 Pavimentos De Aproximadamente 660 m,,
127,,,,920000,,200,327,4,São Bernardo do Campo,,,Baeta Neves,,3,Casa,Bauru 229,2,Casa à Venda - em Baeta Neves,5,
128,,,,2600000,,1400,500,9,,Acesso asfaltado,,,Suítes,8,Comercial,,8,Pousada no Alto De Búzios. Oportunidade!,,
129,,1,1,790000,1,1734,1734,0,Pinhais,Área Verde,,Atuba,Permite animais,0,Terreno,"Estrada da Graciosa, 6013",0,Oportunidade - Estrada Da Graciosa - Terreno 1734 m&sup2; - 40 m De Testada,0,
130,,,,360000,4,118,118,2,Florianópolis,Jardim,,Ingleses,Suítes,3,Casa,Rua Fernando Bauther da Silva 73,1,"Casa Residencial à Venda, Ingleses, Florianópolis - Ca1505.",1,
131,6000,3150,899,,,,263,2,Rio de Janeiro,Portaria 24 horas,,Ipanema,Armário embutido,3,Apartamento,Rua Joaquim Nabuco 134,1,Apartamento para Aluguel - em Ipanema,1,60003150
132,1600,450,118,,,,66,1,Guarulhos,Salão de festas,,Vila Augusta,Armário embutido,2,Apartamento,Rua Santa Izabel 555,1,Apartamento para Aluguel - na Vila Augusta,1,1600450
133,,480,,650000,8,145,110,,Balneário Camboriú,Elevador,Andares,Centro,,3,Apartamento,RUA 3000 340,1,Apto na Rua 3000,1,
134,,,,2300000,1,270,257,6,Brasília,Espaço Gourmet,Andares,Noroeste,Suítes,3,Apartamento,SQNW 108,3,Cobertura De Alto Padrão 03 Suítes Pronta 61 - 99829 - 5148 Whatsapp,2,
135,75000,,,,,400,3312,0,Santo André,,,Centro,,,Comercial,RUA MANOEL PEDRO JUNIOR 323,,Comercial para Aluguel - no Centro,120,
136,,,,1490000,,,103,,Bertioga,Espaço Gourmet,,Riviera de São Lourenço,Mobiliado,3,Apartamento,,1,Apartamento à Venda - em Riviera De São Lourenço,3,
137,,,,266400,,4320,,,Aquiraz,,,Centro,,,Terreno,Paraíso do Euzebio - Aquiraz - CE,,Terreno em Leilão - Paraíso Do Euzebio - Aquiraz - Ce,,
